trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.5, 'e': 0.1260311589989562}",25,10,23.638133548756166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.12225022422898751}",20,10,0.35502932196314374,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.11858271750211788}",20,5,6.148166086330017,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.11502523597705434}",25,13,19.78962357539848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.1115744788977427}",25,7,-19.79700308365617,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.10822724453081042}",20,7,8.874853149260016,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.10498042719488611}",20,10,22.090661948194896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.10183101437903952}",30,18,21.893452793423425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.09877608394766833}",25,9,30.07346354478429,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.09581280142923829}",25,9,13.803999941761667,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.09293841738636113}",20,8,19.344785055896626,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.09015026486477029}",20,9,4.691634599850326,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.08744575691882718}",20,0,21.03841340040732,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.08482238421126237}",25,12,22.83633680466396,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.0822777126849245}",30,24,10.567910531581864,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.07980938130437676}",20,9,20.44872810641088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.07741509986524546}",25,15,-2.1700156979539473,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.0750926468692881}",20,12,16.727155486539637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.07283986746320946}",25,12,24.692077549651806,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.07065467143931317}",20,7,20.22280454094298,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.06853503129613378}",20,3,29.831828595960467,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.06647898035724976}",30,15,26.721752285496674,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.06448461094653227}",25,19,10.933817791157644,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.06255007261813629}",20,8,22.361626055044628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.0606735704395922}",25,15,19.949844351468695,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.05885336332640443}",20,15,6.856153307480155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.057087762426612294}",25,4,16.727631176703852,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.05537512955381393}",25,8,30.692928872904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.053713875667199505}",30,22,14.832800256159615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.05210245939718352}",20,13,13.160882217606819,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.05053938561526801}",20,15,11.390595517147485,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.049023204046809966}",25,17,7.8780642064333,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
